feature,coefficient
quality_value_index_weighted_avg_roe,-0.677885932728207
quality_value_index_weighted_avg_roe_chg4q,-1.341917107980681
quality_value_index_weighted_avg_roe_avg4q,1.9690098773631186
quality_value_index_full_diluted_roe,-0.2010329497816278
quality_value_index_full_diluted_roe_chg4q,0.5794775350042095
quality_value_index_full_diluted_roe_avg4q,-0.472837434067599
quality_value_sale_gross_margin,4.125629923655916
quality_value_sale_gross_margin_chg4q,-0.47828921256913454
quality_value_sale_gross_margin_avg4q,-0.9386613929886573
quality_value_sale_net_interest_ratio,-2.826311107162564
quality_value_sale_net_interest_ratio_chg4q,-0.8448904308900874
quality_value_sale_net_interest_ratio_avg4q,3.805053546142981
quality_value_index_per_operating_cash_flow_net,2.4824807107791904
quality_value_index_per_operating_cash_flow_net_chg4q,-0.6876344325123385
quality_value_index_per_operating_cash_flow_net_avg4q,0.45942683213160757
quality_value_assets_debt_ratio,-0.07114040056186635
quality_value_assets_debt_ratio_chg4q,0.7183473431628309
quality_value_assets_debt_ratio_avg4q,-2.113735706099247
quality_value_current_ratio,0.39502901917113215
quality_value_current_ratio_chg4q,-0.8253430015104439
quality_value_current_ratio_avg4q,1.4590586561912433
quality_value_quick_ratio,-0.5212427410894249
quality_value_quick_ratio_chg4q,0.6283409958113064
quality_value_quick_ratio_avg4q,-1.19273084815801
quality_value_inventory_turnover_ratio,-1.5259724944785877
quality_value_inventory_turnover_ratio_chg4q,0.20238246287221404
quality_value_inventory_turnover_ratio_avg4q,1.1050195252373582
quality_value_receive_accounts_turnover_days,-0.7617369241376253
quality_value_receive_accounts_turnover_days_chg4q,0.401044418088008
quality_value_receive_accounts_turnover_days_avg4q,-0.6592390275340191
quality_value_calculate_operating_income_total_yoy_growth_ratio,-5.751972216102537
quality_value_calculate_operating_income_total_yoy_growth_ratio_chg4q,2.633710102682222
quality_value_calculate_operating_income_total_yoy_growth_ratio_avg4q,0.9216606717312582
quality_value_calculate_parent_holder_net_profit_yoy_growth_ratio,-0.3600364402223152
quality_value_calculate_parent_holder_net_profit_yoy_growth_ratio_chg4q,0.42505422657647685
quality_value_calculate_parent_holder_net_profit_yoy_growth_ratio_avg4q,-1.6600973931112892
quality_value_deduct_net_profit_yoy_growth_ratio,-0.46901008296196117
quality_value_deduct_net_profit_yoy_growth_ratio_chg4q,1.0406131986067364
quality_value_deduct_net_profit_yoy_growth_ratio_avg4q,-0.1360147210610511
quality_single_yoy_operating_income_total,1.6998750802394087
quality_single_yoy_operating_income_total_chg4q,-1.2005557787402643
quality_single_yoy_operating_income_total_avg4q,2.0015207914320063
quality_single_yoy_parent_holder_net_profit,-0.34693554480362077
quality_single_yoy_parent_holder_net_profit_chg4q,0.25072365700296556
quality_single_yoy_parent_holder_net_profit_avg4q,0.4996903311268008
quality_yoy_sale_gross_margin,0.008249195214082891
quality_yoy_sale_gross_margin_chg4q,0.39620346935804257
quality_yoy_sale_gross_margin_avg4q,-1.3740351179642627
quality_yoy_assets_debt_ratio,0.3354479141413381
quality_yoy_assets_debt_ratio_chg4q,-0.6185205997044878
quality_yoy_assets_debt_ratio_avg4q,-0.22359577382371543
quality_mom_sale_gross_margin,0.23843024201089816
quality_mom_sale_gross_margin_chg4q,-0.11031856936723697
quality_mom_sale_gross_margin_avg4q,0.18022401390207152
quality_mom_index_weighted_avg_roe,-0.611349915691068
quality_mom_index_weighted_avg_roe_chg4q,0.20691683517926698
quality_mom_index_weighted_avg_roe_avg4q,-0.3659346994496646
quality_mom_index_per_operating_cash_flow_net,-0.01064686396555778
quality_mom_index_per_operating_cash_flow_net_chg4q,-0.06501098005153641
quality_mom_index_per_operating_cash_flow_net_avg4q,-0.42373129278943045
quality_score,-12.700304998985253
quality_score_chg4q,-0.44963830155563606
quality_score_avg4q,-0.5521412000483306
